m_id,n,ns_per_op,bed_setup,it_setup,sr_setup,ir_setup,it_pos,sr_pos,ir_pos,b_name
163,2162706,2774.0,5s,5,3,3,3,3,1,BenchmarkParseLiteralStringValid/1kValidUtf8
164,2149642,2790.0,5s,5,3,3,4,3,1,BenchmarkParseLiteralStringValid/1kValidUtf8
165,2163354,2778.0,5s,5,3,3,5,3,1,BenchmarkParseLiteralStringValid/1kValidUtf8
166,2104,2846175.0,5s,5,3,3,1,1,1,BenchmarkParseLiteralStringValid/1MValidUtf8
167,2103,2854268.0,5s,5,3,3,2,1,1,BenchmarkParseLiteralStringValid/1MValidUtf8
168,2100,2856852.0,5s,5,3,3,3,1,1,BenchmarkParseLiteralStringValid/1MValidUtf8
169,2098,2848054.0,5s,5,3,3,4,1,1,BenchmarkParseLiteralStringValid/1MValidUtf8
170,2106,2847657.0,5s,5,3,3,5,1,1,BenchmarkParseLiteralStringValid/1MValidUtf8
171,2103,2846280.0,5s,5,3,3,1,2,1,BenchmarkParseLiteralStringValid/1MValidUtf8
172,2107,2846492.0,5s,5,3,3,2,2,1,BenchmarkParseLiteralStringValid/1MValidUtf8
173,2103,2853999.0,5s,5,3,3,3,2,1,BenchmarkParseLiteralStringValid/1MValidUtf8
174,2102,2847154.0,5s,5,3,3,4,2,1,BenchmarkParseLiteralStringValid/1MValidUtf8
175,2102,2847771.0,5s,5,3,3,5,2,1,BenchmarkParseLiteralStringValid/1MValidUtf8
176,2107,2847696.0,5s,5,3,3,1,3,1,BenchmarkParseLiteralStringValid/1MValidUtf8
177,2104,2847518.0,5s,5,3,3,2,3,1,BenchmarkParseLiteralStringValid/1MValidUtf8
178,2101,2846269.0,5s,5,3,3,3,3,1,BenchmarkParseLiteralStringValid/1MValidUtf8
179,2108,2846544.0,5s,5,3,3,4,3,1,BenchmarkParseLiteralStringValid/1MValidUtf8
180,2108,2853124.0,5s,5,3,3,5,3,1,BenchmarkParseLiteralStringValid/1MValidUtf8
181,34945677,170.5,5s,5,3,3,1,1,1,BenchmarkParseBasicStringWithUnicode/4
182,34804885,171.6,5s,5,3,3,2,1,1,BenchmarkParseBasicStringWithUnicode/4
183,34816305,169.4,5s,5,3,3,3,1,1,BenchmarkParseBasicStringWithUnicode/4
184,34509956,171.0,5s,5,3,3,4,1,1,BenchmarkParseBasicStringWithUnicode/4
185,35103937,170.5,5s,5,3,3,5,1,1,BenchmarkParseBasicStringWithUnicode/4
186,34564603,173.1,5s,5,3,3,1,2,1,BenchmarkParseBasicStringWithUnicode/4
187,35074380,170.0,5s,5,3,3,2,2,1,BenchmarkParseBasicStringWithUnicode/4
188,34778698,170.3,5s,5,3,3,3,2,1,BenchmarkParseBasicStringWithUnicode/4
189,35206732,170.2,5s,5,3,3,4,2,1,BenchmarkParseBasicStringWithUnicode/4
190,34421158,170.9,5s,5,3,3,5,2,1,BenchmarkParseBasicStringWithUnicode/4
191,35102030,169.4,5s,5,3,3,1,3,1,BenchmarkParseBasicStringWithUnicode/4
192,34368169,171.3,5s,5,3,3,2,3,1,BenchmarkParseBasicStringWithUnicode/4
193,34574744,171.1,5s,5,3,3,3,3,1,BenchmarkParseBasicStringWithUnicode/4
194,35053668,171.6,5s,5,3,3,4,3,1,BenchmarkParseBasicStringWithUnicode/4
195,34806428,171.5,5s,5,3,3,5,3,1,BenchmarkParseBasicStringWithUnicode/4
196,19938876,301.6,5s,5,3,3,1,1,1,BenchmarkParseBasicStringWithUnicode/8
197,19838658,301.5,5s,5,3,3,2,1,1,BenchmarkParseBasicStringWithUnicode/8
198,19589850,301.2,5s,5,3,3,3,1,1,BenchmarkParseBasicStringWithUnicode/8
199,19779217,300.9,5s,5,3,3,4,1,1,BenchmarkParseBasicStringWithUnicode/8
200,19569801,301.4,5s,5,3,3,5,1,1,BenchmarkParseBasicStringWithUnicode/8
201,19862421,300.9,5s,5,3,3,1,2,1,BenchmarkParseBasicStringWithUnicode/8
202,19704404,301.9,5s,5,3,3,2,2,1,BenchmarkParseBasicStringWithUnicode/8
203,20030148,300.1,5s,5,3,3,3,2,1,BenchmarkParseBasicStringWithUnicode/8
204,19681741,301.3,5s,5,3,3,4,2,1,BenchmarkParseBasicStringWithUnicode/8
205,19913548,300.6,5s,5,3,3,5,2,1,BenchmarkParseBasicStringWithUnicode/8
206,19909070,301.2,5s,5,3,3,1,3,1,BenchmarkParseBasicStringWithUnicode/8
207,19569488,300.3,5s,5,3,3,2,3,1,BenchmarkParseBasicStringWithUnicode/8
208,19724104,301.3,5s,5,3,3,3,3,1,BenchmarkParseBasicStringWithUnicode/8
209,19673148,300.4,5s,5,3,3,4,3,1,BenchmarkParseBasicStringWithUnicode/8
210,19833122,302.0,5s,5,3,3,5,3,1,BenchmarkParseBasicStringWithUnicode/8
211,530607514,11.29,5s,5,3,3,1,1,1,BenchmarkParseBasicStringsEasy/1
212,528203164,11.28,5s,5,3,3,2,1,1,BenchmarkParseBasicStringsEasy/1
213,534532501,11.28,5s,5,3,3,3,1,1,BenchmarkParseBasicStringsEasy/1
214,533403255,11.28,5s,5,3,3,4,1,1,BenchmarkParseBasicStringsEasy/1
215,534491749,11.26,5s,5,3,3,5,1,1,BenchmarkParseBasicStringsEasy/1
216,532346463,11.25,5s,5,3,3,1,2,1,BenchmarkParseBasicStringsEasy/1
217,531697346,11.25,5s,5,3,3,2,2,1,BenchmarkParseBasicStringsEasy/1
218,533480071,11.32,5s,5,3,3,3,2,1,BenchmarkParseBasicStringsEasy/1
219,532509930,11.28,5s,5,3,3,4,2,1,BenchmarkParseBasicStringsEasy/1
220,532504650,11.29,5s,5,3,3,5,2,1,BenchmarkParseBasicStringsEasy/1
221,533875954,11.23,5s,5,3,3,1,3,1,BenchmarkParseBasicStringsEasy/1
222,530805034,11.3,5s,5,3,3,2,3,1,BenchmarkParseBasicStringsEasy/1
223,533350418,11.28,5s,5,3,3,3,3,1,BenchmarkParseBasicStringsEasy/1
224,533453686,11.26,5s,5,3,3,4,3,1,BenchmarkParseBasicStringsEasy/1
225,534339865,11.24,5s,5,3,3,5,3,1,BenchmarkParseBasicStringsEasy/1
226,364228989,16.47,5s,5,3,3,1,1,1,BenchmarkParseBasicStringsEasy/4
227,364565008,16.44,5s,5,3,3,2,1,1,BenchmarkParseBasicStringsEasy/4
228,363939996,16.49,5s,5,3,3,3,1,1,BenchmarkParseBasicStringsEasy/4
229,362866677,16.52,5s,5,3,3,4,1,1,BenchmarkParseBasicStringsEasy/4
230,363539766,16.48,5s,5,3,3,5,1,1,BenchmarkParseBasicStringsEasy/4
231,363849489,16.45,5s,5,3,3,1,2,1,BenchmarkParseBasicStringsEasy/4
232,364389153,16.44,5s,5,3,3,2,2,1,BenchmarkParseBasicStringsEasy/4
233,364269914,16.47,5s,5,3,3,3,2,1,BenchmarkParseBasicStringsEasy/4
234,362469105,16.43,5s,5,3,3,4,2,1,BenchmarkParseBasicStringsEasy/4
235,365200875,16.48,5s,5,3,3,5,2,1,BenchmarkParseBasicStringsEasy/4
236,361645734,16.48,5s,5,3,3,1,3,1,BenchmarkParseBasicStringsEasy/4
237,363420098,16.5,5s,5,3,3,2,3,1,BenchmarkParseBasicStringsEasy/4
238,364429878,16.62,5s,5,3,3,3,3,1,BenchmarkParseBasicStringsEasy/4
239,364432995,16.49,5s,5,3,3,4,3,1,BenchmarkParseBasicStringsEasy/4
240,364738310,16.47,5s,5,3,3,5,3,1,BenchmarkParseBasicStringsEasy/4
241,260037814,23.46,5s,5,3,3,1,1,1,BenchmarkParseBasicStringsEasy/8
242,256749288,23.22,5s,5,3,3,2,1,1,BenchmarkParseBasicStringsEasy/8
243,256102602,22.96,5s,5,3,3,3,1,1,BenchmarkParseBasicStringsEasy/8
244,261281391,23.05,5s,5,3,3,4,1,1,BenchmarkParseBasicStringsEasy/8
245,257808230,23.34,5s,5,3,3,5,1,1,BenchmarkParseBasicStringsEasy/8
246,259517845,23.23,5s,5,3,3,1,2,1,BenchmarkParseBasicStringsEasy/8
247,256288830,23.31,5s,5,3,3,2,2,1,BenchmarkParseBasicStringsEasy/8
248,260266692,23.14,5s,5,3,3,3,2,1,BenchmarkParseBasicStringsEasy/8
249,259220476,22.99,5s,5,3,3,4,2,1,BenchmarkParseBasicStringsEasy/8
250,261123232,23.35,5s,5,3,3,5,2,1,BenchmarkParseBasicStringsEasy/8
251,259812726,23.22,5s,5,3,3,1,3,1,BenchmarkParseBasicStringsEasy/8
252,259981058,23.16,5s,5,3,3,2,3,1,BenchmarkParseBasicStringsEasy/8
253,261162931,22.98,5s,5,3,3,3,3,1,BenchmarkParseBasicStringsEasy/8
254,254629492,23.34,5s,5,3,3,4,3,1,BenchmarkParseBasicStringsEasy/8
255,260695430,23.23,5s,5,3,3,5,3,1,BenchmarkParseBasicStringsEasy/8
256,162058162,37.01,5s,5,3,3,1,1,1,BenchmarkParseBasicStringsEasy/16
257,162232424,36.92,5s,5,3,3,2,1,1,BenchmarkParseBasicStringsEasy/16
258,161833378,36.96,5s,5,3,3,3,1,1,BenchmarkParseBasicStringsEasy/16
259,162231274,37.02,5s,5,3,3,4,1,1,BenchmarkParseBasicStringsEasy/16
260,162593020,37.0,5s,5,3,3,5,1,1,BenchmarkParseBasicStringsEasy/16
261,162324427,37.03,5s,5,3,3,1,2,1,BenchmarkParseBasicStringsEasy/16
262,162378188,36.94,5s,5,3,3,2,2,1,BenchmarkParseBasicStringsEasy/16
263,162352166,37.17,5s,5,3,3,3,2,1,BenchmarkParseBasicStringsEasy/16
264,162321644,37.04,5s,5,3,3,4,2,1,BenchmarkParseBasicStringsEasy/16
265,162064202,37.07,5s,5,3,3,5,2,1,BenchmarkParseBasicStringsEasy/16
266,162662215,36.9,5s,5,3,3,1,3,1,BenchmarkParseBasicStringsEasy/16
267,162366732,37.08,5s,5,3,3,2,3,1,BenchmarkParseBasicStringsEasy/16
268,162319790,36.9,5s,5,3,3,3,3,1,BenchmarkParseBasicStringsEasy/16
269,162283068,36.99,5s,5,3,3,4,3,1,BenchmarkParseBasicStringsEasy/16
270,162159547,37.05,5s,5,3,3,5,3,1,BenchmarkParseBasicStringsEasy/16
271,100000000,50.62,5s,5,3,3,1,1,1,BenchmarkParseBasicStringsEasy/21
272,100000000,50.61,5s,5,3,3,2,1,1,BenchmarkParseBasicStringsEasy/21
273,100000000,50.67,5s,5,3,3,3,1,1,BenchmarkParseBasicStringsEasy/21
274,100000000,50.74,5s,5,3,3,4,1,1,BenchmarkParseBasicStringsEasy/21
275,100000000,51.09,5s,5,3,3,5,1,1,BenchmarkParseBasicStringsEasy/21
276,100000000,50.33,5s,5,3,3,1,2,1,BenchmarkParseBasicStringsEasy/21
277,100000000,51.33,5s,5,3,3,2,2,1,BenchmarkParseBasicStringsEasy/21
278,100000000,50.92,5s,5,3,3,3,2,1,BenchmarkParseBasicStringsEasy/21
279,100000000,50.76,5s,5,3,3,4,2,1,BenchmarkParseBasicStringsEasy/21
280,100000000,50.61,5s,5,3,3,5,2,1,BenchmarkParseBasicStringsEasy/21
